pos|word|adjFeminine|adjNeuter|declension|definition
ADJ|piger|pigra|pigrum|12|lazy, slow, dull
ADJ|plenus|plena|plenum|12|full
ADJ|poeticus|poetica|poeticum|12|poetic
ADJ|potens|potens|potens|3|able, powerful, mighty, strong
ADJ|praeclarus|praeclara|praeclarum|12|remarkable
ADJ|primus|prima|primum|12|first, foremost, chief, principal
ADJ|pristinus|pristina|pristinum|12|former
ADJ|proprius|propria|proprium|12|one's own, peculiar, proper, personal, characteristic
ADJ|prudens|prudens|prudens|3|wise, prudent
ADJ|publicus|publica|publicum|12|of the people, public
ADJ|pudicus|pudica|pudicum|12|modest, chaste
ADJ|pulcher|pulchra|pulchrum|12|beautiful
ADJ|purus|pura|purum|12|pure
ADJ|quartus|quarta|quartum|12|fourth
ADJ|rarus|rara|rarum|12|rare
ADJ|rectus|recta|rectum|12|right
ADJ|reflectus|reflecta|reflectum|12|bent back
ADJ|rhetoricus|rhetorica|rhetoricum|12|of rhetoric, rhetorical
ADJ|Romanus|Romana|Romanum|12|Roman
ADJ|rotundus|rotunda|rotundum|12|wheel-shaped, round
ADJ|rusticus|rustica|rusticum|12|rustic, rural
ADJ|sacrilegus|sacrilega|sacrilegum|12|sacrilegious, impious
ADJ|saevus|saeva|saevum|12|cruel
ADJ|salsus|salsa|salsum|12|salty; witty
ADJ|salvus|salva|salvum|12|safe, sound
ADJ|sanctus|sancta|sanctum|12|sacred, holy
ADJ|sanus|sana|sanum|12|sound, sane
ADJ|sceleratus|scelerata|sceleratum|12|criminal, wicked, accursed
ADJ|scelestus|scelesta|scelestum|12|wicked, accursed, infamous
ADJ|secundus|secunda|secundum|12|second
ADJ|senex|senex|senex|3|old, aged
ADJ|similis|similis|simile|3|similar, like, resembling
ADJ|simplex|simplex|simplex|3|simple, unaffected
ADJ|sollicitus|sollicita|sollicitum|12|troubled, anxious
ADJ|studiosus|studiosa|studiosum|12|full of zeal, eager, fond of
ADJ|stultus|stulta|stultum|12|foolish
ADJ|subitus|subita|subitum|12|sudden
ADJ|superbus|superba|superbum|12|overbearing, haughty, proud
ADJ|suus|sua|suum|12|his, her, its, their own
ADJ|tantus|tanta|tantum|12|so large, so great, of such size
ADJ|tardus|tarda|tardum|12|slow, tardy
ADJ|tertius|tertia|tertium|12|third
ADJ|tonsorius|tonsoria|tonsorium|12|of or pertaining to a barber, barber's
ADJ|tristis|tristis|triste|3|sad
ADJ|turpis|turpis|turpe|3|ugly, shameful, base, disgraceful
ADJ|tutus|tuta|tutum|12|protected, safe, secure
ADJ|tuus|tua|tuum|12|your (singular)
ADJ|urbanus|urbana|urbanum|12|of the city, urban, urbane
ADJ|utilis|utilis|utile|3|useful, advantageous
ADJ|vacuus|vacua|vacuum|12|empty, devoid of, free from
ADJ|varius|varia|varium|12|various, varied, different; fickle
ADJ|vehemens|vehemens|vehemens|3|powerful
ADJ|verus|vera|verum|12|true, real
ADJ|vester|vestra|vestrum|12|your (plural)
ADJ|vitiosus|vitiosa|vitiosum|12|full of vice, vicious
ADJ|voluntarius|voluntaria|voluntarium|12|voluntary
