pos|word|fpsaPresent|fpsaPerfect|ppp|conjugation|definition
VERB|gerere|gero|gessi|gestus|3|to carry, carry on, manage; to conduct, perform; to accomplish
VERB|gustare|gusto|gustavi|gustatus|1|to taste
VERB|habere|habeo|habui|habitus|2|to have, hold, possess; to consider, regard
VERB|iacere|iacio|ieci|iactus|3|to throw, hurl
VERB|illacrimare|illacrimo|illacrimavi|illacrimatus|1|to weep over
VERB|imminere|immineo|||2|to overhang, threaten
VERB|imperare|impero|imperavi|imperatus|1|to give orders to, command
VERB|implere|impleo|implevi|impletus|2|to complete
VERB|incipere|incipio|incepi|inceptus|3|to begin, commence
VERB|includere|includo|inclusi|inclusus|3|to shut in, enclose
VERB|insurgere|insurgo|insurrexi|insurrectus|3|to rise up
VERB|intelligere|intelligo|intellexi|intellectus|3|to understand
VERB|intrare|intro|intravi|intratus|1|to walk into, enter
VERB|invenire|invenio|inveni|inventus|4|to come upon, find
VERB|ire|eo|ii|itus|4|to go
VERB|irritare|irrito|irritavi|irritatus|1|to excite, exasperate
VERB|iubere|iubeo|iussi|iussus|2|to bid, order, command
VERB|iungere|iungo|iunxi|iunctus|3|to join
VERB|iuvare|iuvo|iuvi|iutus|1|to help, aid, assist; to please
VERB|laborare|laboro|laboravi|laboratus|1|to labor; to be in distress
VERB|laudare|laudo|laudavi|laudatus|1|to praise
VERB|legere|lego|legi|lectus|3|to pick out, choose; to read
VERB|liberare|libero|liberavi|liberatus|1|to free, liberate
VERB|ludere|ludo|lusi|lusus|3|to play
VERB|manere|maneo|mansi|mansus|2|to remain, stay, abide, continue
VERB|miscere|misceo|miscui|mixtus|2|to mix
VERB|mittere|mitto|misi|missus|3|to send, let go
VERB|mollire|mollio|mollivi|mollitus|4|to soften
VERB|monere|moneo|monui|monitus|2|to advise, warn
VERB|movere|moveo|movi|motus|2|to move; to arouse, affect
VERB|multare|multo|multavi|multatus|1|to punish
VERB|munire|munio|munivi|munitus|4|to fortify, defend; to build a road
VERB|mutare|muto|mutavi|mutatus|1|to change, alter; to exchange
VERB|narrare|narro|narravi|narratus|1|to narate, tell
VERB|navigare|navigo|navigavi|navigatus|1|to sail
VERB|necare|neco|necavi|necatus|1|to murder, kill
VERB|neglegere|neglego|neglexi|neglectus|3|to neglect, disregard
VERB|obdurare|obduro|obduravi|obduratus|1|to be hard, persist, endure
VERB|obruere|obruo|obrui|obrutus|3|to overwhelm, bury
VERB|occupare|occupo|occupavi|occupatus|1|to seize
VERB|onerare|onero|oneravi|oneratus|1|to load, oppress
VERB|optare|opto|optavi|optatus|1|to wish
VERB|parare|paro|paravi|paratus|1|to prepare, provide, get, obtain
VERB|parere|pario|peperi|partus|3|to beget, produce
VERB|peccare|pecco|peccavi|peccatus|1|to sin
VERB|perdere|perdo|perdidi|perditus|3|to destroy, ruin, lose
VERB|perimere|perimo|peremi|peremptus|3|to destroy
VERB|perire|pereo|perii|peritus|4|to perish
VERB|permittere|permitto|permisi|permissus|3|to permit, allow
VERB|perscribere|perscribo|perscripsi|perscriptus|3|to write out, place on record
VERB|persuadere|persuadeo|persuasi|persuasus|2|to make sweet to, persuade
VERB|perterrere|perterreo|perterrui|perterritus|2|to frighten thoroughly, terrify
VERB|pertinere|pertineo|pertinui|pertentus|2|to pertain to, relate to, concern
VERB|perturbare|perturbo|perturbavi|perturbatus|1|to throw into confusion; to trouble, disturb, perturb
VERB|petere|peto|petivi|petitus|3|to seek, aim at, beg, beseech
VERB|pipiare|pipio|pipiavi|pipiatus|1|to chirp
VERB|placare|placo|placavi|placatus|1|to placate, appease
VERB|placere|placeo|placui|placitus|2|to be pleasing to, please
VERB|ponere|pono|posui|positus|3|to put, place, set
VERB|praeferre|praefero|praetuli|praelatus|3|to display
VERB|privare|privo|privavi|privatus|1|to deprive
VERB|profundere|profundo|profudi|profusus|3|to pour forth
VERB|prohibere|prohibeo|prohibui|prohibitus|2|to prevent, hinder, restrain, prohibit
VERB|pronuntiare|pronuntio|pronuntiavi|pronuntiatus|1|to proclaim, announce; to declaim
VERB|pugnare|pugno|pugnavi|pugnatus|1|to fight
VERB|punire|punio|punivi|punitus|4|to punish
VERB|purgare|purgo|purgavi|purgatus|1|to cleanse
VERB|putare|puto|putavi|putatus|1|to reckon, suppose, judge, think, imagine
VERB|quaerere|quaero|quaesivi|quaesitus|3|to seek, look for, strive for; to ask, inquire
VERB|rapere|rapio|rapui|raptus|3|to seize, snatch, carry away
VERB|recedere|recedo|recessi|recessus|3|to go back, retire, recede, withdraw
VERB|recitare|recito|recitavi|recitatus|1|to read aloud, recite
VERB|recognoscere|recognosco|recognovi|recognitus|3|to recognize, recollect
VERB|recusare|recuso|recusavi|recusatus|1|to refuse, reject
VERB|referre|refero|rettuli|relatus|3|to bear back, refer
VERB|reflectere|reflecto|reflexi|reflectus|3|to bend back
VERB|regere|rego|rexi|rectus|3|to rule
VERB|relegere|relego|relegi|relectus|3|to re-read
VERB|relevare|relevo|relevavi|relevatus|1|to relieve, diminish
VERB|remanere|remaneo|remansi|remansus|2|to remain, stay behind, abide, continue
VERB|revocare|revoco|revocavi|revocatus|1|to call back, recall
VERB|ridere|rideo|risi|risus|2|to laugh, laugh at
VERB|rogare|rogo|rogavi|rogatus|1|to ask, seek
VERB|salutare|saluto|salutavi|salutatus|1|to greet
VERB|salvere|salveo|||2|to be well, be in good health
VERB|satiare|satio|satiavi|satiatus|1|to satisfy, sate
VERB|scribere|scribo|scripsi|scriptus|3|to write, compose
VERB|sedere|sedeo|sedi|sessum|2|to sit
VERB|sentire|sentio|sensi|sensus|4|to feel, perceive, think, experience
VERB|servare|servo|servavi|servatus|1|to preserve, save, keep
VERB|sitire|sitio|sitivi||4|to be thirsty
VERB|spargere|spargo|sparsi|sparsus|3|to scatter, spread, strew
VERB|spectare|specto|spectavi|spectatus|1|to look at, see
VERB|sperare|spero|speravi|speratus|1|to hope for, hope
VERB|stare|sto|steti|status|1|to stand, stand still or firm
VERB|studere|studeo|studui||2|to direct one's zeal to, be eager for, study
VERB|superare|supero|superavi|superatus|1|to be above, have the upper hand; to suprass, overcome, conquer
VERB|surgere|surgo|surrexi|surrectus|3|to get up, arise
VERB|sustinere|sustineo|sustinui|sustentus|2|to hold up, sustain, endure
VERB|tacere|taceo|tacui|tacitus|2|to be silent, leave unmentioned
VERB|tangere|tango|tetigi|tactus|3|to touch
VERB|tegere|tego|texi|tectus|3|to cover, hide, protect
